Acaryochloridaceae cyanobacterium	1.28234	5.2727	3.3619700000000003	3.2999487500000004	1.4425974532709842	8	47.5	49.3	48.55	48.483333333333334	0.7139094246938231	6	1352.0	4958.0	2838.0	2764.8	1394.5076909074398	5	-2
Acaryochloris marina	7.112769999999999	8.3616	7.64773	7.707366666666666	0.6265472777319627	3	46.7857	47.0033	46.9889	46.92596666666667	0.12168768768176111	3	6406.0	7592.0	6971.0	6989.666666666667	593.2203075867627	3	-2
Acaryochloris sp.CCMEE-5410	8.094430000000001	8.094430000000001	8.094430000000001	8.094430000000001	0	1	47.2457	47.2457	47.2457	47.2457	0	1	7596.0	7596.0	7596.0	7596.0	0	1	[310037]
Acaryochloris sp.CRU_2_0	4.8871199999999995	4.8871199999999995	4.8871199999999995	4.8871199999999995	0	1	47.9	47.9	47.9	47.9	0	1	4870.0	4870.0	4870.0	4870.0	0	1	[2720402]
Acaryochloris sp.IP29b_bin.137	5.51926	5.51926	5.51926	5.51926	0	1	47.8	47.8	47.8	47.8	0	1	-	-	-	-	-	0	[2969217]
Acaryochloris sp.IP29b_bin.148	5.06905	5.06905	5.06905	5.06905	0	1	48.0	48.0	48.0	48.0	0	1	-	-	-	-	-	0	[2969218]
Acaryochloris sp.IP29b_bin.176	5.351369999999999	5.351369999999999	5.351369999999999	5.351369999999999	0	1	47.3	47.3	47.3	47.3	0	1	-	-	-	-	-	0	[2969219]
Acaryochloris sp.Moss-Beach	7.2547	7.2547	7.2547	7.2547	0	1	46.7167	46.7167	46.7167	46.7167	0	1	6849.0	6849.0	6849.0	6849.0	0	1	[2740837]
Acaryochloris sp.RU_4_1	5.06225	5.06225	5.06225	5.06225	0	1	47.9	47.9	47.9	47.9	0	1	5026.0	5026.0	5026.0	5026.0	0	1	[2720442]
Acaryochloris sp.SU_5_25	2.4249400000000003	2.4249400000000003	2.4249400000000003	2.4249400000000003	0	1	48.0	48.0	48.0	48.0	0	1	2493.0	2493.0	2493.0	2493.0	0	1	[2720481]
Acaryochloris thomasi	5.93184	5.93184	5.93184	5.93184	0	1	50.2	50.2	50.2	50.2	0	1	5612.0	5612.0	5612.0	5612.0	0	1	[1764569]
Accumulibacter sp.	0.753182	5.655069999999999	3.75184	3.61063284375	1.0542829844088684	64	55.6	67.8	63.4	63.146875	2.3988733301215084	64	757.0	5253.0	3533.0	3373.0491803278687	928.6215846839785	61	2053492
Acerihabitans arboris	5.6449300000000004	5.6449300000000004	5.6449300000000004	5.6449300000000004	0	1	57.0	57.0	57.0	57.0	0	1	5197.0	5197.0	5197.0	5197.0	0	1	[2691583]
